GeoFips,GeoName,LineCode,Description,2016,2017,2018,2019,2020
999,United States (Nonmetropolitan Portion) *,1400,      Administrative and support and waste management and remediation services,955533,974726,996218,1012692,956526
999,United States (Nonmetropolitan Portion) *,1500,      Educational services,328935,332759,331412,341571,320770
999,United States (Nonmetropolitan Portion) *,1600,      Health care and social assistance,2347161,2360403,2370064,2380213,2307799
999,United States (Nonmetropolitan Portion) *,1700,"      Arts, entertainment, and recreation",378276,386071,394906,390816,320955
999,United States (Nonmetropolitan Portion) *,1800,      Accommodation and food services,1675289,1705621,1718370,1738875,1493572
999,United States (Nonmetropolitan Portion) *,1900,      Other services (except government and government enterprises),1359977,1338043,1378701,1370425,1272959
999,United States (Nonmetropolitan Portion) *,2000,    Government and government enterprises,3684602,3679362,3666412,3682058,3560588
999,United States (Nonmetropolitan Portion) *,2001,      Federal civilian,263975,262786,261078,263956,276545
999,United States (Nonmetropolitan Portion) *,2002,      Military,212765,215212,209630,211591,210250
999,United States (Nonmetropolitan Portion) *,2010,      State and local,3207862,3201364,3195704,3206511,3073793
999,United States (Nonmetropolitan Portion) *,2011,        State government,761538,758018,752880,755824,735298
999,United States (Nonmetropolitan Portion) *,2012,        Local government,2446324,2443346,2442824,2450687,2338495
1998,Alabama (Metropolitan Portion),,Employment by place of work,,,,,
1998,Alabama (Metropolitan Portion),10,Total employment (number of jobs),2085239,2113980,2151057,2170516,2088157
1998,Alabama (Metropolitan Portion),,By type,,,,,
1998,Alabama (Metropolitan Portion),20,  Wage and salary employment,1643706,1664641,1686588,1711156,1643053
1998,Alabama (Metropolitan Portion),40,  Proprietors employment,441533,449339,464469,459360,445104
1998,Alabama (Metropolitan Portion),50,    Farm proprietors employment,17653,17142,16771,16389,16466
1998,Alabama (Metropolitan Portion),60,    Nonfarm proprietors employment 2/,423880,432197,447698,442971,428638
1998,Alabama (Metropolitan Portion),,By industry,,,,,
1998,Alabama (Metropolitan Portion),70,  Farm employment,21352,21534,20490,19416,19872
1998,Alabama (Metropolitan Portion),80,  Nonfarm employment,2063887,2092446,2130567,2151100,2068285
1998,Alabama (Metropolitan Portion),90,    Private nonfarm employment,1746684,1772147,1808019,1824963,1745864
1998,Alabama (Metropolitan Portion),100,"      Forestry, fishing, and related activities",(D),(D),7951,8032,7791
1998,Alabama (Metropolitan Portion),200,"      Mining, quarrying, and oil and gas extraction",8693,7939,7353,7000,6494
1998,Alabama (Metropolitan Portion),300,      Utilities,11940,11334,11181,10875,10701
1998,Alabama (Metropolitan Portion),400,      Construction,114882,116259,121459,125044,123120
1998,Alabama (Metropolitan Portion),500,      Manufacturing,174402,176320,178476,179351,172203
1998,Alabama (Metropolitan Portion),600,      Wholesale trade,70131,69696,70679,70423,69298
1998,Alabama (Metropolitan Portion),700,      Retail trade,226457,226733,226342,224842,217831
1998,Alabama (Metropolitan Portion),800,      Transportation and warehousing,(D),(D),(D),(D),68668
1998,Alabama (Metropolitan Portion),900,      Information,23733,24106,24419,24201,22325
1998,Alabama (Metropolitan Portion),1000,      Finance and insurance,"96,244 E","97,731 E","100,114 E","97,570 E","98,867 E"
1998,Alabama (Metropolitan Portion),1100,      Real estate and rental and leasing,90032,93073,"96,087 E","92,527 E","92,128 E"
1998,Alabama (Metropolitan Portion),1200,"      Professional, scientific, and technical services",132024,136100,140652,142288,143286
1998,Alabama (Metropolitan Portion),1300,      Management of companies and enterprises,16919,16073,16383,16858,16487
1998,Alabama (Metropolitan Portion),1400,      Administrative and support and waste management and remediation services,149370,154575,157164,161316,150541
1998,Alabama (Metropolitan Portion),1500,      Educational services,36130,36651,35850,36894,34253
1998,Alabama (Metropolitan Portion),1600,      Health care and social assistance,200843,204263,207762,213194,206243
1998,Alabama (Metropolitan Portion),1700,"      Arts, entertainment, and recreation","32,747 E","34,215 E",36864,36851,30257
1998,Alabama (Metropolitan Portion),1800,      Accommodation and food services,160247,164895,167088,168899,144517
1998,Alabama (Metropolitan Portion),1900,      Other services (except government and government enterprises),134330,132847,138127,139080,130468
1998,Alabama (Metropolitan Portion),2000,    Government and government enterprises,317203,320299,322548,326137,322421
1998,Alabama (Metropolitan Portion),2001,      Federal civilian,45991,45929,45926,46904,48491
1998,Alabama (Metropolitan Portion),2002,      Military,20887,20856,20573,20631,20292
1998,Alabama (Metropolitan Portion),2010,      State and local,250325,253514,256049,258602,253638
1998,Alabama (Metropolitan Portion),2011,        State government,"90,045 E",91868,93308,94954,94110
1998,Alabama (Metropolitan Portion),2012,        Local government,"159,653 E",161646,162741,163648,159528
1999,Alabama (Nonmetropolitan Portion) *,,Employment by place of work,,,,,
1999,Alabama (Nonmetropolitan Portion) *,10,Total employment (number of jobs),534498,535832,541326,542188,524312
1999,Alabama (Nonmetropolitan Portion) *,,By type,,,,,
1999,Alabama (Nonmetropolitan Portion) *,20,  Wage and salary employment,406420,409276,412483,416165,401925
1999,Alabama (Nonmetropolitan Portion) *,40,  Proprietors employment,128078,126556,128843,126023,122387
1999,Alabama (Nonmetropolitan Portion) *,50,    Farm proprietors employment,19627,19044,18629,18207,18289
1999,Alabama (Nonmetropolitan Portion) *,60,    Nonfarm proprietors employment 2/,108451,107512,110214,107816,104098
1999,Alabama (Nonmetropolitan Portion) *,,By industry,,,,,
1999,Alabama (Nonmetropolitan Portion) *,70,  Farm employment,23141,23223,22161,21078,21521
1999,Alabama (Nonmetropolitan Portion) *,80,  Nonfarm employment,511357,512609,519165,521110,502791
1999,Alabama (Nonmetropolitan Portion) *,90,    Private nonfarm employment,426633,427786,434650,436365,420031
1999,Alabama (Nonmetropolitan Portion) *,100,"      Forestry, fishing, and related activities",(D),(D),7978,8284,7933
1999,Alabama (Nonmetropolitan Portion) *,200,"      Mining, quarrying, and oil and gas extraction",2765,2492,2288,2172,2019
1999,Alabama (Nonmetropolitan Portion) *,300,      Utilities,3021,2804,3078,2881,2871
1999,Alabama (Nonmetropolitan Portion) *,400,      Construction,26819,26266,26575,27400,27184
1999,Alabama (Nonmetropolitan Portion) *,500,      Manufacturing,96790,97795,99118,99899,95912
1999,Alabama (Nonmetropolitan Portion) *,600,      Wholesale trade,11592,11679,11615,11644,11119
1999,Alabama (Nonmetropolitan Portion) *,700,      Retail trade,57787,57359,56806,55994,55610
1999,Alabama (Nonmetropolitan Portion) *,800,      Transportation and warehousing,(D),(D),(D),"19,957 E",21549
1999,Alabama (Nonmetropolitan Portion) *,900,      Information,3355,3383,3262,3141,3009
1999,Alabama (Nonmetropolitan Portion) *,1000,      Finance and insurance,"15,159 E","14,934 E","15,410 E","14,901 E","14,990 E"
1999,Alabama (Nonmetropolitan Portion) *,1100,      Real estate and rental and leasing,13430,13711,"14,468 E","13,268 E","13,210 E"
1999,Alabama (Nonmetropolitan Portion) *,1200,"      Professional, scientific, and technical services",13435,13762,14710,14515,14336
1999,Alabama (Nonmetropolitan Portion) *,1300,      Management of companies and enterprises,2846,2597,2760,2598,2573
1999,Alabama (Nonmetropolitan Portion) *,1400,      Administrative and support and waste management and remediation services,26649,27234,27949,29145,28264
1999,Alabama (Nonmetropolitan Portion) *,1500,      Educational services,5592,5733,5591,5832,5340
1999,Alabama (Nonmetropolitan Portion) *,1600,      Health care and social assistance,45460,45656,45683,46284,44351
1999,Alabama (Nonmetropolitan Portion) *,1700,"      Arts, entertainment, and recreation",(D),(D),4954,4969,4261
1999,Alabama (Nonmetropolitan Portion) *,1800,      Accommodation and food services,32495,33338,33642,34635,30905
1999,Alabama (Nonmetropolitan Portion) *,1900,      Other services (except government and government enterprises),36441,35875,36863,36754,34498
1999,Alabama (Nonmetropolitan Portion) *,2000,    Government and government enterprises,84724,84823,84515,84745,82760
1999,Alabama (Nonmetropolitan Portion) *,2001,      Federal civilian,7395,7288,7146,7223,7475
1999,Alabama (Nonmetropolitan Portion) *,2002,      Military,8741,8810,8689,8774,8650
1999,Alabama (Nonmetropolitan Portion) *,2010,      State and local,68588,68725,68680,68748,66635
1999,Alabama (Nonmetropolitan Portion) *,2011,        State government,"15,343 E",15641,15586,15650,15324
1999,Alabama (Nonmetropolitan Portion) *,2012,        Local government,"52,908 E",53084,53094,53098,51311
2998,Alaska (Metropolitan Portion),,Employment by place of work,,,,,
2998,Alaska (Metropolitan Portion),10,Total employment (number of jobs),301213,301099,300806,300100,284110
2998,Alaska (Metropolitan Portion),,By type,,,,,
2998,Alaska (Metropolitan Portion),20,  Wage and salary employment,241049,238873,238471,239561,225239
2998,Alaska (Metropolitan Portion),40,  Proprietors employment,60164,62226,62335,60539,58871
2998,Alaska (Metropolitan Portion),50,    Farm proprietors employment,563,591,598,628,627
2998,Alaska (Metropolitan Portion),60,    Nonfarm proprietors employment 2/,59601,61635,61737,59911,58244
2998,Alaska (Metropolitan Portion),,By industry,,,,,
2998,Alaska (Metropolitan Portion),70,  Farm employment,846,1023,1068,974,949
2998,Alaska (Metropolitan Portion),80,  Nonfarm employment,300367,300076,299738,299126,283161
2998,Alaska (Metropolitan Portion),90,    Private nonfarm employment,234120,234200,234447,234029,218041
2998,Alaska (Metropolitan Portion),100,"      Forestry, fishing, and related activities","1,642 E","1,682 E",2026,2138,(D)
2998,Alaska (Metropolitan Portion),200,"      Mining, quarrying, and oil and gas extraction",6820,6431,5275,4936,4459
2998,Alaska (Metropolitan Portion),300,      Utilities,1279,1249,1300,1324,1491
2998,Alaska (Metropolitan Portion),400,      Construction,17402,16747,17344,17573,17010
2998,Alaska (Metropolitan Portion),500,      Manufacturing,4587,4472,4497,4373,(D)
2998,Alaska (Metropolitan Portion),600,      Wholesale trade,(D),6200,6266,6286,6024
2998,Alaska (Metropolitan Portion),700,      Retail trade,32231,32340,31408,30514,29123
2998,Alaska (Metropolitan Portion),800,      Transportation and warehousing,15374,16159,16836,17736,15638
2998,Alaska (Metropolitan Portion),900,      Information,5692,5496,5083,4751,4434
2998,Alaska (Metropolitan Portion),1000,      Finance and insurance,9573,9536,9809,9294,9311
2998,Alaska (Metropolitan Portion),1100,      Real estate and rental and leasing,12255,12652,12649,12101,11772
2998,Alaska (Metropolitan Portion),1200,"      Professional, scientific, and technical services",18489,18326,18375,18353,17895
2998,Alaska (Metropolitan Portion),1300,      Management of companies and enterprises,"2,370 E","2,223 E","2,218 E",2468,"2,257 E"
2998,Alaska (Metropolitan Portion),1400,      Administrative and support and waste management and remediation services,(D),(D),(D),12526,(D)
2998,Alaska (Metropolitan Portion),1500,      Educational services,4363,4380,4170,4216,(D)
2998,Alaska (Metropolitan Portion),1600,      Health care and social assistance,38028,38374,38753,39160,38161
2998,Alaska (Metropolitan Portion),1700,"      Arts, entertainment, and recreation",7034,7270,7355,7203,5689
2998,Alaska (Metropolitan Portion),1800,      Accommodation and food services,23825,23845,24233,24887,19644
2998,Alaska (Metropolitan Portion),1900,      Other services (except government and government enterprises),14249,14149,14321,14190,13100
2998,Alaska (Metropolitan Portion),2000,    Government and government enterprises,66247,65876,65291,65097,65120
2998,Alaska (Metropolitan Portion),2001,      Federal civilian,11860,11765,11591,11688,12182
2998,Alaska (Metropolitan Portion),2002,      Military,21855,22311,22391,22424,23004
2998,Alaska (Metropolitan Portion),2010,      State and local,32532,31800,31309,30985,29934
2998,Alaska (Metropolitan Portion),2011,        State government,(D),(D),(D),(D),(D)
2998,Alaska (Metropolitan Portion),2012,        Local government,(D),(D),(D),(D),(D)
2999,Alaska (Nonmetropolitan Portion) *,,Employment by place of work,,,,,
2999,Alaska (Nonmetropolitan Portion) *,10,Total employment (number of jobs),155907,154606,154065,154642,141843
2999,Alaska (Nonmetropolitan Portion) *,,By type,,,,,
2999,Alaska (Nonmetropolitan Portion) *,20,  Wage and salary employment,119867,118359,117537,118984,106881
2999,Alaska (Nonmetropolitan Portion) *,40,  Proprietors employment,36040,36247,36528,35658,34962
2999,Alaska (Nonmetropolitan Portion) *,50,    Farm proprietors employment,259,275,277,291,291
2999,Alaska (Nonmetropolitan Portion) *,60,    Nonfarm proprietors employment 2/,35781,35972,36251,35367,34671
2999,Alaska (Nonmetropolitan Portion) *,,By industry,,,,,
2999,Alaska (Nonmetropolitan Portion) *,70,  Farm employment,411,508,530,477,463
2999,Alaska (Nonmetropolitan Portion) *,80,  Nonfarm employment,155496,154098,153535,154165,141380
2999,Alaska (Nonmetropolitan Portion) *,90,    Private nonfarm employment,118226,116692,116063,116799,105545
2999,Alaska (Nonmetropolitan Portion) *,100,"      Forestry, fishing, and related activities",(D),(D),8380,8965,9261
2999,Alaska (Nonmetropolitan Portion) *,200,"      Mining, quarrying, and oil and gas extraction",11830,10754,10003,10374,8722
2999,Alaska (Nonmetropolitan Portion) *,300,      Utilities,1068,988,1021,1000,940
2999,Alaska (Nonmetropolitan Portion) *,400,      Construction,6537,5933,5941,5925,5920
2999,Alaska (Nonmetropolitan Portion) *,500,      Manufacturing,11853,11599,10887,11174,"9,609 E"
2999,Alaska (Nonmetropolitan Portion) *,600,      Wholesale trade,(D),1120,1175,1136,1059
2999,Alaska (Nonmetropolitan Portion) *,700,      Retail trade,13416,13470,13325,13281,12528
2999,Alaska (Nonmetropolitan Portion) *,800,      Transportation and warehousing,7894,7947,8164,8467,6417
2999,Alaska (Nonmetropolitan Portion) *,900,      Information,1662,1637,1601,1498,1398
2999,Alaska (Nonmetropolitan Portion) *,1000,      Finance and insurance,1859,1812,1925,1790,1801
2999,Alaska (Nonmetropolitan Portion) *,1100,      Real estate and rental and leasing,4841,4797,4876,4629,4240
2999,Alaska (Nonmetropolitan Portion) *,1200,"      Professional, scientific, and technical services",4907,5098,5028,4800,4783
2999,Alaska (Nonmetropolitan Portion) *,1300,      Management of companies and enterprises,(D),(D),(D),1009,(D)
2999,Alaska (Nonmetropolitan Portion) *,1400,      Administrative and support and waste management and remediation services,"4,576 E","4,404 E","4,381 E",4770,(D)
2999,Alaska (Nonmetropolitan Portion) *,1500,      Educational services,1553,1629,1636,1660,(D)
2999,Alaska (Nonmetropolitan Portion) *,1600,      Health care and social assistance,13587,13996,14179,14281,14074
2999,Alaska (Nonmetropolitan Portion) *,1700,"      Arts, entertainment, and recreation",3616,3676,3671,3548,2401
2999,Alaska (Nonmetropolitan Portion) *,1800,      Accommodation and food services,11519,11659,11573,11884,8461
2999,Alaska (Nonmetropolitan Portion) *,1900,      Other services (except government and government enterprises),6483,6583,6724,6608,6217
2999,Alaska (Nonmetropolitan Portion) *,2000,    Government and government enterprises,37270,37406,37472,37366,35835
2999,Alaska (Nonmetropolitan Portion) *,2001,      Federal civilian,3357,3340,3300,3175,3257
2999,Alaska (Nonmetropolitan Portion) *,2002,      Military,3267,3449,3430,3467,3440
2999,Alaska (Nonmetropolitan Portion) *,2010,      State and local,30646,30617,30742,30724,29138
2999,Alaska (Nonmetropolitan Portion) *,2011,        State government,"7,849 E","7,637 E","7,607 E","7,501 E","7,199 E"
2999,Alaska (Nonmetropolitan Portion) *,2012,        Local government,"22,423 E","22,390 E","22,641 E","22,731 E","21,458 E"
4998,Arizona (Metropolitan Portion),,Employment by place of work,,,,,
4998,Arizona (Metropolitan Portion),10,Total employment (number of jobs),3509573,3604829,3717950,3792802,3693379
4998,Arizona (Metropolitan Portion),,By type,,,,,
4998,Arizona (Metropolitan Portion),20,  Wage and salary employment,2718886,2786294,2865642,2957216,2871972
4998,Arizona (Metropolitan Portion),40,  Proprietors employment,790687,818535,852308,835586,821407
4998,Arizona (Metropolitan Portion),50,    Farm proprietors employment,8082,7988,8038,7956,7947
4998,Arizona (Metropolitan Portion),60,    Nonfarm proprietors employment 2/,782605,810547,844270,827630,813460
4998,Arizona (Metropolitan Portion),,By industry,,,,,
4998,Arizona (Metropolitan Portion),70,  Farm employment,22027,19827,19685,18753,19203
4998,Arizona (Metropolitan Portion),80,  Nonfarm employment,3487546,3585002,3698265,3774049,3674176
4998,Arizona (Metropolitan Portion),90,    Private nonfarm employment,3079104,3172385,3283280,3350767,3258278
4998,Arizona (Metropolitan Portion),100,"      Forestry, fishing, and related activities",14678,(D),"13,873 E","13,614 E","12,264 E"
4998,Arizona (Metropolitan Portion),200,"      Mining, quarrying, and oil and gas extraction",16868,"14,620 E","13,341 E",12551,11607
4998,Arizona (Metropolitan Portion),300,      Utilities,12402,12114,12029,12225,11893
4998,Arizona (Metropolitan Portion),400,      Construction,185499,197538,214073,228592,229110
4998,Arizona (Metropolitan Portion),500,      Manufacturing,171626,175341,181126,187732,186940
4998,Arizona (Metropolitan Portion),600,      Wholesale trade,104588,105565,107805,107832,107468
4998,Arizona (Metropolitan Portion),700,      Retail trade,380700,386915,382490,379185,371959
4998,Arizona (Metropolitan Portion),800,      Transportation and warehousing,123662,139236,157041,172493,182148
4998,Arizona (Metropolitan Portion),900,      Information,55782,56477,58374,59333,55457
4998,Arizona (Metropolitan Portion),1000,      Finance and insurance,233762,240614,252397,252990,262095
4998,Arizona (Metropolitan Portion),1100,      Real estate and rental and leasing,202696,209436,216208,203970,208345
4998,Arizona (Metropolitan Portion),1200,"      Professional, scientific, and technical services",227719,236644,248771,253418,"249,235 E"
4998,Arizona (Metropolitan Portion),1300,      Management of companies and enterprises,40824,38479,"37,787 E","38,281 E","40,028 E"
4998,Arizona (Metropolitan Portion),1400,      Administrative and support and waste management and remediation services,298389,303367,310246,321272,301674
4998,Arizona (Metropolitan Portion),1500,      Educational services,77311,79377,79339,84973,80651
4998,Arizona (Metropolitan Portion),1600,      Health care and social assistance,392487,406507,421549,438305,436927
4998,Arizona (Metropolitan Portion),1700,"      Arts, entertainment, and recreation",77884,(D),"84,744 E",86105,67357
4998,Arizona (Metropolitan Portion),1800,      Accommodation and food services,277465,287635,293025,297757,252492
4998,Arizona (Metropolitan Portion),1900,      Other services (except government and government enterprises),184762,185965,198063,199826,185359
4998,Arizona (Metropolitan Portion),2000,    Government and government enterprises,408442,412617,414985,423282,415898
4998,Arizona (Metropolitan Portion),2001,      Federal civilian,48275,48755,48551,49269,51301
4998,Arizona (Metropolitan Portion),2002,      Military,30319,31261,32330,33385,34580
4998,Arizona (Metropolitan Portion),2010,      State and local,329848,332601,334104,340628,330017
4998,Arizona (Metropolitan Portion),2011,        State government,89136,90972,91373,92749,92573
4998,Arizona (Metropolitan Portion),2012,        Local government,240712,241629,242731,247879,237444
4999,Arizona (Nonmetropolitan Portion) *,,Employment by place of work,,,,,
4999,Arizona (Nonmetropolitan Portion) *,10,Total employment (number of jobs),135201,135174,136556,136600,132783
4999,Arizona (Nonmetropolitan Portion) *,,By type,,,,,
4999,Arizona (Nonmetropolitan Portion) *,20,  Wage and salary employment,96539,96458,97567,98643,95513
4999,Arizona (Nonmetropolitan Portion) *,40,  Proprietors employment,38662,38716,38989,37957,37270
4999,Arizona (Nonmetropolitan Portion) *,50,    Farm proprietors employment,10115,9945,10006,9900,9898
4999,Arizona (Nonmetropolitan Portion) *,60,    Nonfarm proprietors employment 2/,28547,28771,28983,28057,27372
4999,Arizona (Nonmetropolitan Portion) *,,By industry,,,,,
4999,Arizona (Nonmetropolitan Portion) *,70,  Farm employment,11373,11067,11190,11046,11107
4999,Arizona (Nonmetropolitan Portion) *,80,  Nonfarm employment,123828,124107,125366,125554,121676
4999,Arizona (Nonmetropolitan Portion) *,90,    Private nonfarm employment,88205,88553,89567,89547,86740
4999,Arizona (Nonmetropolitan Portion) *,100,"      Forestry, fishing, and related activities",1710,(D),(D),(D),(D)
4999,Arizona (Nonmetropolitan Portion) *,200,"      Mining, quarrying, and oil and gas extraction",5841,(D),(D),6642,6139
4999,Arizona (Nonmetropolitan Portion) *,300,      Utilities,858,785,731,734,747
4999,Arizona (Nonmetropolitan Portion) *,400,      Construction,5863,5785,5874,5902,5821
4999,Arizona (Nonmetropolitan Portion) *,500,      Manufacturing,3562,3312,3415,3270,3203
4999,Arizona (Nonmetropolitan Portion) *,600,      Wholesale trade,3406,3522,3684,3804,3846
4999,Arizona (Nonmetropolitan Portion) *,700,      Retail trade,14802,14539,14162,13864,13831
4999,Arizona (Nonmetropolitan Portion) *,800,      Transportation and warehousing,4846,4877,5070,5339,5210
4999,Arizona (Nonmetropolitan Portion) *,900,      Information,988,1004,924,940,866
4999,Arizona (Nonmetropolitan Portion) *,1000,      Finance and insurance,2522,2493,2693,2628,2715
4999,Arizona (Nonmetropolitan Portion) *,1100,      Real estate and rental and leasing,4607,4825,4828,4394,4470
4999,Arizona (Nonmetropolitan Portion) *,1200,"      Professional, scientific, and technical services",3461,3374,3269,3414,(D)
4999,Arizona (Nonmetropolitan Portion) *,1300,      Management of companies and enterprises,334,309,148 E,(D),(D)
4999,Arizona (Nonmetropolitan Portion) *,1400,      Administrative and support and waste management and remediation services,3936,4085,3913,3954,3785
4999,Arizona (Nonmetropolitan Portion) *,1500,      Educational services,2016,2008,1774,1805,1635
4999,Arizona (Nonmetropolitan Portion) *,1600,      Health care and social assistance,11680,11753,11920,12323,12358
4999,Arizona (Nonmetropolitan Portion) *,1700,"      Arts, entertainment, and recreation",1672,(D),(D),1809,1489
4999,Arizona (Nonmetropolitan Portion) *,1800,      Accommodation and food services,10315,10490,10668,10632,9347
4999,Arizona (Nonmetropolitan Portion) *,1900,      Other services (except government and government enterprises),5786,5731,6014,5897,5549
4999,Arizona (Nonmetropolitan Portion) *,2000,    Government and government enterprises,35623,35554,35799,36007,34936
4999,Arizona (Nonmetropolitan Portion) *,2001,      Federal civilian,7078,7089,7119,7275,7677
4999,Arizona (Nonmetropolitan Portion) *,2002,      Military,696,711,726,728,735
4999,Arizona (Nonmetropolitan Portion) *,2010,      State and local,27849,27754,27954,28004,26524
4999,Arizona (Nonmetropolitan Portion) *,2011,        State government,1851,1904,1921,1908,1989
4999,Arizona (Nonmetropolitan Portion) *,2012,        Local government,25998,25850,26033,26096,24535
5998,Arkansas (Metropolitan Portion),,Employment by place of work,,,,,
5998,Arkansas (Metropolitan Portion),10,Total employment (number of jobs),1096505,1111194,1127595,1133701,1095513
5998,Arkansas (Metropolitan Portion),,By type,,,,,
5998,Arkansas (Metropolitan Portion),20,  Wage and salary employment,879763,888619,898812,907490,875780
5998,Arkansas (Metropolitan Portion),40,  Proprietors employment,216742,222575,228783,226211,219733
5998,Arkansas (Metropolitan Portion),50,    Farm proprietors employment,13429,13129,13089,13029,12991
