id,GeoName,Description,2016,2017,2018,2019,2020
9,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Manufacturing,96790,97795,99118,99899,95912
10,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Wholesale trade,11592,11679,11615,11644,11119
11,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Retail trade,57787,57359,56806,55994,55610
13,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Information,3355,3383,3262,3141,3009
14,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Finance and insurance,15159,14934,15410,14901,14990
15,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Real estate and rental and leasing,13430,13711,14468,13268,13210
16,Alabama (Nonmetropolitan Portion) *,"Nonfarm employment Private nonfarm employment Professional, scientific, and technical services",13435,13762,14710,14515,14336
17,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Management of companies and enterprises,2846,2597,2760,2598,2573
18,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Administrative and support and waste management and remediation services,26649,27234,27949,29145,28264
19,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Educational services,5592,5733,5591,5832,5340
20,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Health care and social assistance,45460,45656,45683,46284,44351
22,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Accommodation and food services,32495,33338,33642,34635,30905
23,Alabama (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Other services (except government and government enterprises),36441,35875,36863,36754,34498
24,Alabama (Nonmetropolitan Portion) *,Government and government enterprises Federal civilian,7395,7288,7146,7223,7475
25,Alabama (Nonmetropolitan Portion) *,Government and government enterprises Military,8741,8810,8689,8774,8650
26,Alabama (Nonmetropolitan Portion) *,Government and government enterprises State and local State government,15343,15641,15586,15650,15324
27,Alabama (Nonmetropolitan Portion) *,Government and government enterprises State and local Local government,52908,53084,53094,53098,51311
1,Alaska (Metropolitan Portion),Wage and salary employment,241049,238873,238471,239561,225239
2,Alaska (Metropolitan Portion),Proprietors employment Farm proprietors employment,563,591,598,628,627
3,Alaska (Metropolitan Portion),Proprietors employmentNonfarm proprietors employment 2/,59601,61635,61737,59911,58244
4,Alaska (Metropolitan Portion),Farm employment,846,1023,1068,974,949
6,Alaska (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Mining, quarrying, and oil and gas extraction",6820,6431,5275,4936,4459
7,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Utilities,1279,1249,1300,1324,1491
8,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Construction,17402,16747,17344,17573,17010
11,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Retail trade,32231,32340,31408,30514,29123
12,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Transportation and warehousing,15374,16159,16836,17736,15638
13,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Information,5692,5496,5083,4751,4434
14,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Finance and insurance,9573,9536,9809,9294,9311
15,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Real estate and rental and leasing,12255,12652,12649,12101,11772
16,Alaska (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Professional, scientific, and technical services",18489,18326,18375,18353,17895
17,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Management of companies and enterprises,2370,2223,2218,2468,2257
20,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Health care and social assistance,38028,38374,38753,39160,38161
21,Alaska (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Arts, entertainment, and recreation",7034,7270,7355,7203,5689
22,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Accommodation and food services,23825,23845,24233,24887,19644
23,Alaska (Metropolitan Portion),Nonfarm employment Private nonfarm employment Other services (except government and government enterprises),14249,14149,14321,14190,13100
24,Alaska (Metropolitan Portion),Government and government enterprises Federal civilian,11860,11765,11591,11688,12182
25,Alaska (Metropolitan Portion),Government and government enterprises Military,21855,22311,22391,22424,23004
1,Alaska (Nonmetropolitan Portion) *,Wage and salary employment,119867,118359,117537,118984,106881
2,Alaska (Nonmetropolitan Portion) *,Proprietors employment Farm proprietors employment,259,275,277,291,291
3,Alaska (Nonmetropolitan Portion) *,Proprietors employmentNonfarm proprietors employment 2/,35781,35972,36251,35367,34671
4,Alaska (Nonmetropolitan Portion) *,Farm employment,411,508,530,477,463
6,Alaska (Nonmetropolitan Portion) *,"Nonfarm employment Private nonfarm employment Mining, quarrying, and oil and gas extraction",11830,10754,10003,10374,8722
7,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Utilities,1068,988,1021,1000,940
8,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Construction,6537,5933,5941,5925,5920
9,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Manufacturing,11853,11599,10887,11174,9609
11,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Retail trade,13416,13470,13325,13281,12528
12,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Transportation and warehousing,7894,7947,8164,8467,6417
13,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Information,1662,1637,1601,1498,1398
14,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Finance and insurance,1859,1812,1925,1790,1801
15,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Real estate and rental and leasing,4841,4797,4876,4629,4240
16,Alaska (Nonmetropolitan Portion) *,"Nonfarm employment Private nonfarm employment Professional, scientific, and technical services",4907,5098,5028,4800,4783
20,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Health care and social assistance,13587,13996,14179,14281,14074
21,Alaska (Nonmetropolitan Portion) *,"Nonfarm employment Private nonfarm employment Arts, entertainment, and recreation",3616,3676,3671,3548,2401
22,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Accommodation and food services,11519,11659,11573,11884,8461
23,Alaska (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Other services (except government and government enterprises),6483,6583,6724,6608,6217
24,Alaska (Nonmetropolitan Portion) *,Government and government enterprises Federal civilian,3357,3340,3300,3175,3257
25,Alaska (Nonmetropolitan Portion) *,Government and government enterprises Military,3267,3449,3430,3467,3440
26,Alaska (Nonmetropolitan Portion) *,Government and government enterprises State and local State government,7849,7637,7607,7501,7199
27,Alaska (Nonmetropolitan Portion) *,Government and government enterprises State and local Local government,22423,22390,22641,22731,21458
1,Arizona (Metropolitan Portion),Wage and salary employment,2718886,2786294,2865642,2957216,2871972
2,Arizona (Metropolitan Portion),Proprietors employment Farm proprietors employment,8082,7988,8038,7956,7947
3,Arizona (Metropolitan Portion),Proprietors employmentNonfarm proprietors employment 2/,782605,810547,844270,827630,813460
4,Arizona (Metropolitan Portion),Farm employment,22027,19827,19685,18753,19203
6,Arizona (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Mining, quarrying, and oil and gas extraction",16868,14620,13341,12551,11607
7,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Utilities,12402,12114,12029,12225,11893
8,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Construction,185499,197538,214073,228592,229110
9,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Manufacturing,171626,175341,181126,187732,186940
10,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Wholesale trade,104588,105565,107805,107832,107468
11,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Retail trade,380700,386915,382490,379185,371959
12,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Transportation and warehousing,123662,139236,157041,172493,182148
13,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Information,55782,56477,58374,59333,55457
14,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Finance and insurance,233762,240614,252397,252990,262095
15,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Real estate and rental and leasing,202696,209436,216208,203970,208345
16,Arizona (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Professional, scientific, and technical services",227719,236644,248771,253418,249235
17,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Management of companies and enterprises,40824,38479,37787,38281,40028
18,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Administrative and support and waste management and remediation services,298389,303367,310246,321272,301674
19,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Educational services,77311,79377,79339,84973,80651
20,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Health care and social assistance,392487,406507,421549,438305,436927
22,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Accommodation and food services,277465,287635,293025,297757,252492
23,Arizona (Metropolitan Portion),Nonfarm employment Private nonfarm employment Other services (except government and government enterprises),184762,185965,198063,199826,185359
24,Arizona (Metropolitan Portion),Government and government enterprises Federal civilian,48275,48755,48551,49269,51301
25,Arizona (Metropolitan Portion),Government and government enterprises Military,30319,31261,32330,33385,34580
26,Arizona (Metropolitan Portion),Government and government enterprises State and local State government,89136,90972,91373,92749,92573
27,Arizona (Metropolitan Portion),Government and government enterprises State and local Local government,240712,241629,242731,247879,237444
1,Arizona (Nonmetropolitan Portion) *,Wage and salary employment,96539,96458,97567,98643,95513
2,Arizona (Nonmetropolitan Portion) *,Proprietors employment Farm proprietors employment,10115,9945,10006,9900,9898
3,Arizona (Nonmetropolitan Portion) *,Proprietors employmentNonfarm proprietors employment 2/,28547,28771,28983,28057,27372
4,Arizona (Nonmetropolitan Portion) *,Farm employment,11373,11067,11190,11046,11107
7,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Utilities,858,785,731,734,747
8,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Construction,5863,5785,5874,5902,5821
9,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Manufacturing,3562,3312,3415,3270,3203
10,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Wholesale trade,3406,3522,3684,3804,3846
11,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Retail trade,14802,14539,14162,13864,13831
12,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Transportation and warehousing,4846,4877,5070,5339,5210
13,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Information,988,1004,924,940,866
14,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Finance and insurance,2522,2493,2693,2628,2715
15,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Real estate and rental and leasing,4607,4825,4828,4394,4470
18,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Administrative and support and waste management and remediation services,3936,4085,3913,3954,3785
19,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Educational services,2016,2008,1774,1805,1635
20,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Health care and social assistance,11680,11753,11920,12323,12358
22,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Accommodation and food services,10315,10490,10668,10632,9347
23,Arizona (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Other services (except government and government enterprises),5786,5731,6014,5897,5549
24,Arizona (Nonmetropolitan Portion) *,Government and government enterprises Federal civilian,7078,7089,7119,7275,7677
25,Arizona (Nonmetropolitan Portion) *,Government and government enterprises Military,696,711,726,728,735
26,Arizona (Nonmetropolitan Portion) *,Government and government enterprises State and local State government,1851,1904,1921,1908,1989
27,Arizona (Nonmetropolitan Portion) *,Government and government enterprises State and local Local government,25998,25850,26033,26096,24535
1,Arkansas (Metropolitan Portion),Wage and salary employment,879763,888619,898812,907490,875780
2,Arkansas (Metropolitan Portion),Proprietors employment Farm proprietors employment,13429,13129,13089,13029,12991
3,Arkansas (Metropolitan Portion),Proprietors employmentNonfarm proprietors employment 2/,203313,209446,215694,213182,206742
4,Arkansas (Metropolitan Portion),Farm employment,18590,17896,17701,19117,19223
6,Arkansas (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Mining, quarrying, and oil and gas extraction",8092,6716,5148,4673,4440
7,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Utilities,4536,4411,4474,4618,4666
8,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Construction,60463,61950,63279,64658,64747
9,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Manufacturing,86017,87428,88651,89561,86809
10,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Wholesale trade,38551,39393,40113,40140,39187
11,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Retail trade,116324,116828,115576,112695,110443
12,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Transportation and warehousing,49061,49413,52077,55100,53405
13,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Information,12919,12878,11081,10997,11703
14,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Finance and insurance,43842,44297,46614,46478,47058
15,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Real estate and rental and leasing,42765,44217,46335,44974,44558
16,Arkansas (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Professional, scientific, and technical services",53986,55348,57657,58408,55980
17,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Management of companies and enterprises,34290,33805,33793,32779,32648
18,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Administrative and support and waste management and remediation services,68673,71128,73381,73155,68654
19,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Educational services,16296,16915,17421,18082,16909
20,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Health care and social assistance,127456,131407,134083,136034,132920
21,Arkansas (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Arts, entertainment, and recreation",16885,17540,18155,18343,15689
22,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Accommodation and food services,81229,82910,84065,85988,74895
23,Arkansas (Metropolitan Portion),Nonfarm employment Private nonfarm employment Other services (except government and government enterprises),58769,58750,61026,61286,57721
24,Arkansas (Metropolitan Portion),Government and government enterprises Federal civilian,15879,15683,15833,16001,16624
25,Arkansas (Metropolitan Portion),Government and government enterprises Military,12078,11925,11439,11101,11121
26,Arkansas (Metropolitan Portion),Government and government enterprises State and local State government,61658,61620,60766,59742,58840
27,Arkansas (Metropolitan Portion),Government and government enterprises State and local Local government,63677,63445,64396,64550,62958
1,Arkansas (Nonmetropolitan Portion) *,Wage and salary employment,400555,398500,399305,401856,387409
2,Arkansas (Nonmetropolitan Portion) *,Proprietors employment Farm proprietors employment,26020,25432,25368,25248,25172
3,Arkansas (Nonmetropolitan Portion) *,Proprietors employmentNonfarm proprietors employment 2/,106618,105919,106653,104034,100749
4,Arkansas (Nonmetropolitan Portion) *,Farm employment,36344,34970,34588,37419,37626
6,Arkansas (Nonmetropolitan Portion) *,"Nonfarm employment Private nonfarm employment Mining, quarrying, and oil and gas extraction",7663,6520,5438,4820,4495
7,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Utilities,3640,3570,3590,3513,3500
8,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Construction,28189,25808,27362,27597,27304
9,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Manufacturing,74955,76009,77707,78267,73422
10,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Wholesale trade,11907,11796,11590,11505,11170
11,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Retail trade,57025,56175,55205,53806,54125
14,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Finance and insurance,16446,16319,16918,15937,16203
15,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Real estate and rental and leasing,15087,14673,15571,14616,14516
16,Arkansas (Nonmetropolitan Portion) *,"Nonfarm employment Private nonfarm employment Professional, scientific, and technical services",11797,11966,12009,11811,11825
17,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Management of companies and enterprises,2999,2798,3115,2976,2890
18,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Administrative and support and waste management and remediation services,21678,22425,22136,22944,21941
21,Arkansas (Nonmetropolitan Portion) *,"Nonfarm employment Private nonfarm employment Arts, entertainment, and recreation",4463,4457,4607,4419,3789
22,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Accommodation and food services,31096,31533,31933,32528,29684
23,Arkansas (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Other services (except government and government enterprises),32353,31446,32180,32064,30242
24,Arkansas (Nonmetropolitan Portion) *,Government and government enterprises Federal civilian,4437,4409,4314,4347,4650
25,Arkansas (Nonmetropolitan Portion) *,Government and government enterprises Military,4784,4710,4477,4322,4150
26,Arkansas (Nonmetropolitan Portion) *,Government and government enterprises State and local State government,21604,20202,20694,20543,19468
27,Arkansas (Nonmetropolitan Portion) *,Government and government enterprises State and local Local government,45233,44338,45405,45028,44245
1,California (Metropolitan Portion),Wage and salary employment,17333586,17631308,17997792,18310448,17016787
2,California (Metropolitan Portion),Proprietors employment Farm proprietors employment,49772,48955,48189,48550,48298
3,California (Metropolitan Portion),Proprietors employmentNonfarm proprietors employment 2/,5391040,5462836,5621716,5458687,5292429
4,California (Metropolitan Portion),Farm employment,219256,214031,218659,221835,215191
5,California (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Forestry, fishing, and related activities",239065,240925,244948,245891,234376
6,California (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Mining, quarrying, and oil and gas extraction",56591,46719,39512,36532,32508
7,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Utilities,62131,59966,58232,58664,60518
8,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Construction,1089354,1120213,1176900,1194368,1159596
9,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Manufacturing,1395332,1400567,1406520,1399930,1338908
10,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Wholesale trade,798807,800876,780918,768660,717508
11,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Retail trade,2034135,2047949,2038656,1994673,1848489
12,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Transportation and warehousing,879352,1008683,1084191,1157228,1207441
13,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Information,610443,606550,615568,625659,591636
14,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Finance and insurance,1058448,1051667,1093263,1056585,1052085
15,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Real estate and rental and leasing,1136136,1163685,1190904,1142648,1111881
16,California (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Professional, scientific, and technical services",1953652,1982752,2058479,2078131,2047976
17,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Management of companies and enterprises,258395,255539,285187,285144,272505
18,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Administrative and support and waste management and remediation services,1482365,1484532,1513582,1521481,1429254
19,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Educational services,522874,535151,543403,571055,526430
20,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Health care and social assistance,2529123,2603617,2666911,2744933,2693279
21,California (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Arts, entertainment, and recreation",628642,645077,666558,660806,485897
22,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Accommodation and food services,1703175,1757003,1792105,1824424,1387695
23,California (Metropolitan Portion),Nonfarm employment Private nonfarm employment Other services (except government and government enterprises),1377973,1370933,1438314,1411233,1250613
24,California (Metropolitan Portion),Government and government enterprises Federal civilian,240403,241203,239246,241249,252805
25,California (Metropolitan Portion),Government and government enterprises Military,217593,214995,194085,192119,195016
26,California (Metropolitan Portion),Government and government enterprises State and local State government,508593,516910,527583,550712,537002
27,California (Metropolitan Portion),Government and government enterprises State and local Local government,1684114,1709977,1726793,1762541,1640639
1,California (Nonmetropolitan Portion) *,Wage and salary employment,282227,285515,290591,295011,274891
2,California (Nonmetropolitan Portion) *,Proprietors employment Farm proprietors employment,9345,9162,9020,9086,9039
3,California (Nonmetropolitan Portion) *,Proprietors employmentNonfarm proprietors employment 2/,111928,111337,111209,105781,102458
4,California (Nonmetropolitan Portion) *,Farm employment,16514,16212,16388,16757,16299
5,California (Nonmetropolitan Portion) *,"Nonfarm employment Private nonfarm employment Forestry, fishing, and related activities",9849,10702,11025,11168,10877
7,California (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Utilities,2199,1890,1847,1867,1922
8,California (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Construction,25284,25297,26307,26072,25918
9,California (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Manufacturing,18488,18401,18262,17949,17095
10,California (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Wholesale trade,6444,6409,6356,6387,6193
11,California (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Retail trade,44093,44120,43586,42677,41118
14,California (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Finance and insurance,9677,9479,9947,9405,9186
15,California (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Real estate and rental and leasing,16939,17367,17667,16594,16280
18,California (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Administrative and support and waste management and remediation services,15158,15533,15796,16341,16016
21,California (Nonmetropolitan Portion) *,"Nonfarm employment Private nonfarm employment Arts, entertainment, and recreation",10924,10930,10891,10953,8775
22,California (Nonmetropolitan Portion) *,Nonfarm employment Private nonfarm employment Accommodation and food services,35276,36407,36789,36809,29473
24,California (Nonmetropolitan Portion) *,Government and government enterprises Federal civilian,7876,7672,7362,7403,7709
25,California (Nonmetropolitan Portion) *,Government and government enterprises Military,1800,1860,1944,2306,2132
26,California (Nonmetropolitan Portion) *,Government and government enterprises State and local State government,13781,13772,14026,14065,14001
27,California (Nonmetropolitan Portion) *,Government and government enterprises State and local Local government,57000,57024,57496,58537,53750
1,Colorado (Metropolitan Portion),Wage and salary employment,2408416,2464601,2527543,2590539,2471132
2,Colorado (Metropolitan Portion),Proprietors employment Farm proprietors employment,14518,14888,14895,14820,14847
3,Colorado (Metropolitan Portion),Proprietors employmentNonfarm proprietors employment 2/,775450,804121,832076,809247,794177
4,Colorado (Metropolitan Portion),Farm employment,19879,21360,20546,20482,20830
6,Colorado (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Mining, quarrying, and oil and gas extraction",49334,45943,41477,39418,32111
7,Colorado (Metropolitan Portion),Nonfarm employment Private nonfarm employment Utilities,6610,6102,6139,6318,6506
8,Colorado (Metropolitan Portion),Nonfarm employment Private nonfarm employment Construction,203101,212898,223902,227659,224436
9,Colorado (Metropolitan Portion),Nonfarm employment Private nonfarm employment Manufacturing,146990,148658,151111,152700,149513
10,Colorado (Metropolitan Portion),Nonfarm employment Private nonfarm employment Wholesale trade,107514,109345,111364,112711,110616
11,Colorado (Metropolitan Portion),Nonfarm employment Private nonfarm employment Retail trade,289526,293955,294816,290502,280508
12,Colorado (Metropolitan Portion),Nonfarm employment Private nonfarm employment Transportation and warehousing,103411,118420,130179,144552,144287
13,Colorado (Metropolitan Portion),Nonfarm employment Private nonfarm employment Information,80461,81186,85151,84838,84033
14,Colorado (Metropolitan Portion),Nonfarm employment Private nonfarm employment Finance and insurance,194749,197087,206816,200679,204195
15,Colorado (Metropolitan Portion),Nonfarm employment Private nonfarm employment Real estate and rental and leasing,178115,185348,190321,181420,181777
16,Colorado (Metropolitan Portion),"Nonfarm employment Private nonfarm employment Professional, scientific, and technical services",305905,317881,330261,339003,342775
