observation_date,MANEMP
2003-12-01,14300
2004-01-01,14290
2004-02-01,14279
2004-03-01,14287
2004-04-01,14315
2004-05-01,14342
2004-06-01,14332
2004-07-01,14330
2004-08-01,14345
2004-09-01,14331
2004-10-01,14332
2004-11-01,14307
2004-12-01,14287
2005-01-01,14257
2005-02-01,14273
2005-03-01,14269
2005-04-01,14250
2005-05-01,14256
2005-06-01,14227
2005-07-01,14226
2005-08-01,14203
2005-09-01,14175
2005-10-01,14192
2005-11-01,14187
2005-12-01,14193
2006-01-01,14210
2006-02-01,14209
2006-03-01,14214
2006-04-01,14226
2006-05-01,14203
2006-06-01,14213
2006-07-01,14188
2006-08-01,14159
2006-09-01,14125
2006-10-01,14075
2006-11-01,14041
2006-12-01,14015
2007-01-01,14008
2007-02-01,13997
2007-03-01,13970
2007-04-01,13945
2007-05-01,13929
2007-06-01,13911
2007-07-01,13889
2007-08-01,13828
2007-09-01,13790
2007-10-01,13764
2007-11-01,13757
2007-12-01,13746
2008-01-01,13725
2008-02-01,13696
2008-03-01,13659
2008-04-01,13599
2008-05-01,13564
2008-06-01,13504
2008-07-01,13430
2008-08-01,13358
2008-09-01,13275
2008-10-01,13147
2008-11-01,13034
2008-12-01,12850
2009-01-01,12561
2009-02-01,12380
2009-03-01,12208
2009-04-01,12030
2009-05-01,11862
2009-06-01,11726
2009-07-01,11668
2009-08-01,11626
2009-09-01,11591
2009-10-01,11538
2009-11-01,11509
2009-12-01,11475
2010-01-01,11460
2010-02-01,11453
2010-03-01,11453
2010-04-01,11489
2010-05-01,11525
2010-06-01,11545
2010-07-01,11561
2010-08-01,11553
2010-09-01,11563
2010-10-01,11562
2010-11-01,11585
2010-12-01,11595
2011-01-01,11621
2011-02-01,11654
2011-03-01,11675
2011-04-01,11704
2011-05-01,11713
2011-06-01,11727
2011-07-01,11746
2011-08-01,11764
2011-09-01,11769
2011-10-01,11780
2011-11-01,11770
2011-12-01,11802
2012-01-01,11838
2012-02-01,11860
2012-03-01,11898
2012-04-01,11916
2012-05-01,11927
2012-06-01,11936
2012-07-01,11964
2012-08-01,11960
2012-09-01,11954
2012-10-01,11961
2012-11-01,11950
2012-12-01,11960
2013-01-01,11983
2013-02-01,11996
2013-03-01,11999
2013-04-01,12000
2013-05-01,12000
2013-06-01,12004
2013-07-01,11984
2013-08-01,12014
2013-09-01,12032
2013-10-01,12056
2013-11-01,12079
2013-12-01,12083
2014-01-01,12081
2014-02-01,12106
2014-03-01,12120
2014-04-01,12134
2014-05-01,12146
2014-06-01,12170
2014-07-01,12189
2014-08-01,12208
2014-09-01,12226
2014-10-01,12259
2014-11-01,12284
2014-12-01,12292
2015-01-01,12292
2015-02-01,12301
2015-03-01,12312
2015-04-01,12318
2015-05-01,12333
2015-06-01,12334
2015-07-01,12349
2015-08-01,12345
2015-09-01,12354
2015-10-01,12362
2015-11-01,12357
2015-12-01,12362
2016-01-01,12383
2016-02-01,12365
2016-03-01,12342
2016-04-01,12353
2016-05-01,12332
2016-06-01,12350
2016-07-01,12372
2016-08-01,12348
2016-09-01,12347
2016-10-01,12345
2016-11-01,12342
2016-12-01,12355
2017-01-01,12366
2017-02-01,12380
2017-03-01,12393
2017-04-01,12400
2017-05-01,12409
2017-06-01,12422
2017-07-01,12423
2017-08-01,12467
2017-09-01,12477
2017-10-01,12490
2017-11-01,12505
2017-12-01,12533
2018-01-01,12556
2018-02-01,12582
2018-03-01,12608
2018-04-01,12632
2018-05-01,12661
2018-06-01,12693
2018-07-01,12714
2018-08-01,12724
2018-09-01,12743
2018-10-01,12762
2018-11-01,12774
2018-12-01,12793
2019-01-01,12822
2019-02-01,12821
2019-03-01,12819
2019-04-01,12824
2019-05-01,12821
2019-06-01,12829
2019-07-01,12832
2019-08-01,12827
2019-09-01,12820
2019-10-01,12764
2019-11-01,12812
2019-12-01,12795
2020-01-01,12784
2020-02-01,12785
2020-03-01,12717
2020-04-01,11423
2020-05-01,11656
2020-06-01,11990
2020-07-01,12025
2020-08-01,12050
2020-09-01,12095
2020-10-01,12122
2020-11-01,12157
2020-12-01,12190
2021-01-01,12184
2021-02-01,12222
2021-03-01,12268
2021-04-01,12240
2021-05-01,12268
2021-06-01,12288
2021-07-01,12350
2021-08-01,12391
2021-09-01,12413
2021-10-01,12466
2021-11-01,12514
2021-12-01,12555
2022-01-01,12581
2022-02-01,12631
2022-03-01,12689
2022-04-01,12750
2022-05-01,12769
2022-06-01,12794
2022-07-01,12831
2022-08-01,12858
2022-09-01,12880
